,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,,
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Trey Alexander,"Oct 24, '24, DEN vs. OKC",21,2,29,159,19,50,5,20,3,4,1,16,16,3,2,6,14,46,0.38,0.25,0.75,5.5,1.6,0.6,0.6,0.1,0.1
2,Marcus Bagley,"Mar 24, '25, PHI @ NOP",23,1,10,253,27,69,5,32,8,10,23,70,10,9,12,7,16,67,0.391,0.156,0.8,25.3,6.7,7,1,0.9,1.2
3,Jamison Battle,"Oct 23, '24, TOR vs. CLE",23,2,88,1280,187,414,122,297,21,26,46,199,63,22,11,37,113,517,0.452,0.411,0.808,14.5,5.9,2.3,0.7,0.3,0.1
4,Damion Baugh,"Feb 12, '25, CHO @ ORL",24,1,15,370,42,130,12,56,13,15,14,50,56,15,2,31,22,109,0.323,0.214,0.867,24.7,7.3,3.3,3.7,1,0.1
5,Reece Beekman,"Oct 29, '24, GSW vs. NOP",23,1,36,469,35,107,7,40,16,21,13,39,63,33,2,21,36,93,0.327,0.175,0.762,13,2.6,1.1,1.8,0.9,0.1
6,Adem Bona,"Oct 23, '24, PHI vs. MIL",21,2,87,1402,175,262,2,6,100,151,143,357,35,35,109,80,187,452,0.668,0.333,0.662,16.1,5.2,4.1,0.4,0.4,1.3
7,Jalen Bridges,"Nov 13, '24, PHO @ SAC",23,1,8,30,2,7,2,7,3,4,0,4,0,0,0,4,0,9,0.286,0.286,0.75,3.8,1.1,0.5,0,0,0
8,Keion Brooks Jr.,"Feb 5, '25, NOP @ DEN",24,1,14,332,53,109,14,43,22,30,12,58,13,10,10,12,30,142,0.486,0.326,0.733,23.7,10.1,4.1,0.9,0.7,0.7
9,Matas Buzelis,"Oct 23, '24, CHI @ NOP",20,2,119,2602,464,992,165,465,179,226,99,484,145,58,129,143,230,1272,0.468,0.355,0.792,21.9,10.7,4.1,1.2,0.5,1.1
10,Branden Carlson,"Nov 25, '24, OKC @ SAC",25,2,62,573,104,212,41,120,23,35,34,129,32,11,36,18,50,272,0.491,0.342,0.657,9.2,4.4,2.1,0.5,0.2,0.6
11,Bub Carrington,"Oct 24, '24, WAS vs. BOS",19,2,120,3499,425,1057,213,585,106,136,47,487,533,73,29,224,280,1169,0.402,0.364,0.779,29.2,9.7,4.1,4.4,0.6,0.2
12,Devin Carter,"Jan 3, '25, SAC vs. MEM",22,2,48,497,60,165,23,81,33,51,24,90,54,27,6,26,49,176,0.364,0.284,0.647,10.4,3.7,1.9,1.1,0.6,0.1
13,Stephon Castle,"Oct 24, '24, SAS @ DAL",20,2,112,3121,604,1381,128,454,389,537,123,456,543,114,30,294,273,1725,0.437,0.282,0.724,27.9,15.4,4.1,4.8,1,0.3
14,Ulrich Chomche,"Oct 23, '24, TOR vs. CLE",19,1,7,32,2,5,0,0,1,2,4,8,2,0,1,2,5,5,0.4,,0.5,4.6,0.7,1.1,0.3,0,0.1
15,Cam Christie,"Dec 4, '24, LAC vs. MIN",19,2,38,271,30,92,11,44,23,34,11,50,18,11,3,8,16,94,0.326,0.25,0.676,7.1,2.5,1.3,0.5,0.3,0.1
16,Jaylen Clark,"Jan 9, '25, MIN @ ORL",23,2,78,1063,114,255,39,108,62,88,61,128,48,67,8,22,118,329,0.447,0.361,0.705,13.6,4.2,1.6,0.6,0.9,0.1
17,Donovan Clingan,"Oct 23, '24, POR vs. GSW",20,2,104,2326,337,625,48,153,119,190,380,922,146,52,160,109,280,841,0.539,0.314,0.626,22.4,8.1,8.9,1.4,0.5,1.5
18,Isaiah Collier,"Nov 7, '24, UTA @ MIL",20,2,102,2554,331,745,56,210,163,242,41,307,653,87,27,279,219,881,0.444,0.267,0.674,25,8.6,3,6.4,0.9,0.3
