Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Season_Year
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,
1,Timmy Allen,"Apr 6, '24, MEM vs. PHI",24,1,5,125,6,23,0,7,1,2,4,17,5,4,0,2,18,13,.261,.000,.500,25.0,2.6,3.4,1.0,0.8,0.0,2024
2,Ibou Badji,"Dec 26, '23, POR vs. SAC",21,1,22,226,14,22,0,0,6,12,20,51,13,3,20,15,46,34,.636,,.500,10.3,1.5,2.3,0.6,0.1,0.9,2024
3,Amari Bailey,"Nov 12, '23, CHO @ NYK",19,1,10,65,8,24,1,8,6,7,6,9,7,3,0,4,2,23,.333,.125,.857,6.5,2.3,0.9,0.7,0.3,0.0,2024
4,Emoni Bates,"Oct 28, '23, CLE vs. IND",20,2,25,208,28,87,21,63,1,4,1,21,18,2,3,10,9,78,.322,.333,.250,8.3,3.1,0.8,0.7,0.1,0.1,2024
5,Jules Bernard,"Dec 8, '23, WAS @ BRK",24,1,19,149,29,64,11,29,5,9,10,26,16,3,1,8,14,74,.453,.379,.556,7.8,3.9,1.4,0.8,0.2,0.1,2024
6,Onuralp Bitim,"Nov 4, '23, CHI @ DEN",24,1,23,268,32,84,12,44,4,5,6,32,13,3,2,10,24,80,.381,.273,.800,11.7,3.5,1.4,0.6,0.1,0.1,2024
7,Anthony Black,"Oct 25, '23, ORL vs. HOU",20,3,189,4335,618,1383,167,479,317,439,117,541,501,175,96,297,390,1720,.447,.349,.722,22.9,9.1,2.9,2.7,0.9,0.5,2024
8,Leaky Black,"Nov 8, '23, CHO vs. WAS",24,1,26,284,25,52,9,20,10,15,9,48,24,8,11,6,19,69,.481,.450,.667,10.9,2.7,1.8,0.9,0.3,0.4,2024
9,Izaiah Brockington,"Mar 5, '24, NOP @ TOR",24,1,1,3,2,5,0,1,0,0,1,2,0,0,0,0,0,4,.400,.000,,3.0,4.0,2.0,0.0,0.0,0.0,2024
10,Kobe Brown,"Oct 25, '23, LAC vs. POR",24,3,112,928,96,234,30,117,24,31,56,176,73,26,12,32,86,246,.410,.256,.774,8.3,2.2,1.6,0.7,0.2,0.1,2024
